id,name,age,ht,wt,shot,birth_place,birthdate,number
0,Connor Bunnaman,21,"6' 1""",207 lbs,L,"Guelph, ON",04/16/98,82
1,Sean Couturier,27,"6' 3""",211 lbs,L,"Phoenix, AZ",12/07/92,14
2,Kevin Hayes,27,"6' 5""",216 lbs,L,"Boston, MA",05/08/92,13
3,Travis Konecny,22,"5' 10""",184 lbs,R,"London, ON",03/11/97,11
4,Scott Laughton,25,"6' 1""",190 lbs,L,"Oakville, ON",05/30/94,21
5,Nolan Patrick,21,"6' 2""",199 lbs,R,"Winnipeg, MB",09/19/98,19
